index,a,b,c,d,e
2393,flytip,flytips,flytipped,flytipped,flytipping
2394,foal,foals,foaled,foaled,foaling
2395,foam,foams,foamed,foamed,foaming
2396,fob,fobs,fobbed,fobbed,fobbing
2397,focalise,focalises,focalised,focalised,focalising
2398,focalize,focalizes,focalized,focalized,focalizing
2399,focus,focuses,focused,focused,focusing
2400,fog,fogs,fogged,fogged,fogging
2401,foil,foils,foiled,foiled,foiling
2402,foist,foists,foisted,foisted,foisting
2403,fold,folds,folded,folded,folding
2404,follow,follows,followed,followed,following
2405,foment,foments,fomented,fomented,fomenting
2406,fondle,fondles,fondled,fondled,fondling
2407,fool,fools,fooled,fooled,fooling
2408,foot,foots,footed,footed,footing
2409,forage,forages,foraged,foraged,foraging
2410,forbear,forbears,forbore,forborne,forbearing
2411,forbid,forbids,forbade,forbidden,forbidding
2412,forbid,forbids,forbad,forbidden,forbidding
2413,force,forces,forced,forced,forcing
2414,force-feed,force-feeds,force-fed,force-fed,force-feeding
2415,forcefeed,forcefeeds,forcefed,forcefed,forcefeeding
2416,ford,fords,forded,forded,fording
2417,forearm,forearms,forearmed,forearmed,forearming
2418,forecast,forecasts,forecast,forecast,forecasting
2419,forecast,forecasts,forecasted,forecasted,forecasting
2420,foreclose,forecloses,foreclosed,foreclosed,foreclosing
2421,foregather,foregathers,foregathered,foregathered,foregathering
2422,forego,foregoes,forewent,foregone,foregoing
2423,foreground,foregrounds,foregrounded,foregrounded,foregrounding
2424,foresee,foresees,foresaw,foreseen,foreseeing
2425,foreshadow,foreshadows,foreshadowed,foreshadowed,foreshadowing
2426,foreshorten,foreshortens,foreshortened,foreshortened,foreshortening
2427,forestall,forestalls,forestalled,forestalled,forestalling
2428,foretell,foretells,foretold,foretold,foretelling
2429,forewarn,forewarns,forewarned,forewarned,forewarning
2430,forfeit,forfeits,forfeited,forfeited,forfeiting
2431,forfend,forfends,forfended,forfended,forfending
2432,forgather,forgathers,forgathered,forgathered,forgathering
2433,forge,forges,forged,forged,forging
2434,forget,forgets,forgot,forgotten,forgetting
2435,forget,forgets,forgot,forgot,forgetting
2436,forgive,forgives,forgave,forgiven,forgiving
2437,forgo,forgoes,forwent,forgone,forgoing
2438,fork,forks,forked,forked,forking
2439,form,forms,formed,formed,forming
2440,formalise,formalises,formalised,formalised,formalising
2441,formalize,formalizes,formalized,formalized,formalizing
2442,format,formats,formatted,formatted,formatting
2443,formulate,formulates,formulated,formulated,formulating
2444,fornicate,fornicates,fornicated,fornicated,fornicating
2445,forsake,forsakes,forsook,forsaken,forsaking
2446,forswear,forswears,forswore,forsworn,forswearing
2447,fortify,fortifies,fortified,fortified,fortifying
2448,forward,forwards,forwarded,forwarded,forwarding
2449,fossick,fossicks,fossicked,fossicked,fossicking
2450,fossilise,fossilises,fossilised,fossilised,fossilising
2451,fossilize,fossilizes,fossilized,fossilized,fossilizing
2452,foster,fosters,fostered,fostered,fostering
2453,foul,fouls,fouled,fouled,fouling
2454,found,founds,founded,founded,founding
2455,founder,founders,foundered,foundered,foundering
2456,fox,foxes,foxed,foxed,foxing
2457,fracture,fractures,fractured,fractured,fracturing
2458,frag,frags,fragged,fragged,fragging
2459,fragment,fragments,fragmented,fragmented,fragmenting
2460,frame,frames,framed,framed,framing
2461,franchise,franchises,franchised,franchised,franchising
2462,frank,franks,franked,franked,franking
2463,fraternise,fraternises,fraternised,fraternised,fraternising
2464,fraternize,fraternizes,fraternized,fraternized,fraternizing
2465,fray,frays,frayed,frayed,fraying
2466,freak,freaks,freaked,freaked,freaking
2467,free,frees,freed,freed,freeing
2468,freelance,freelances,freelanced,freelanced,freelancing
2469,freeload,freeloads,freeloaded,freeloaded,freeloading
2470,freestyle,freestyles,freestyled,freestyled,freestyling
2471,freewheel,freewheels,freewheeled,freewheeled,freewheeling
2472,freeze,freezes,froze,frozen,freezing
2473,freeze-dry,freeze-dries,freeze-dried,freeze-dried,freeze-drying
2474,freezedry,freezedries,freezedried,freezedried,freezedrying
2475,freight,freights,freighted,freighted,freighting
2476,french polish,french polishes,french polished,french polished,french polishing
2477,frequent,frequents,frequented,frequented,frequenting
2478,freshen,freshens,freshened,freshened,freshening
2479,fret,frets,fretted,fretted,fretting
2480,frighten,frightens,frightened,frightened,frightening
2481,fringe,fringes,fringed,fringed,fringing
2482,frisk,frisks,frisked,frisked,frisking
2483,fritter,fritters,frittered,frittered,frittering
2484,frizz,frizzes,frizzed,frizzed,frizzing
2485,frizzle,frizzles,frizzled,frizzled,frizzling
2486,frogmarch,frogmarches,frogmarched,frogmarched,frogmarching
2487,frolic,frolics,frolicked,frolicked,frolicking
2488,front,fronts,fronted,fronted,fronting
2489,front-load,front-loads,front-loaded,front-loaded,front-loading
2490,frontload,frontloads,frontloaded,frontloaded,frontloading
2491,frost,frosts,frosted,frosted,frosting
2492,frostbite,frostbites,frostbit frostbitten,frostbiting ,
2493,froth,froths,frothed,frothed,frothing
2494,frown,frowns,frowned,frowned,frowning
2495,fruit,fruits,fruited,fruited,fruiting
2496,frustrate,frustrates,frustrated,frustrated,frustrating
2497,fry,fries,fried,fried,frying
2498,fuck,fucks,fucked,fucked,fucking
2499,fuddle,fuddles,fuddled,fuddled,fuddling
2500,fudge,fudges,fudged,fudged,fudging
2501,fuel,fuels,fuelled,fuelled,fuelling
2502,fulfil,fulfils,fulfilled,fulfilled,fulfilling
2503,fulminate,fulminates,fulminated,fulminated,fulminating
2504,fumble,fumbles,fumbled,fumbled,fumbling
2505,fume,fumes,fumed,fumed,fuming
2506,fumigate,fumigates,fumigated,fumigated,fumigating
2507,function,functions,functioned,functioned,functioning
2508,fund,funds,funded,funded,funding
2509,funk,funks,funked,funked,funking
2510,funnel,funnels,funnelled,funnelled,funnelling
2511,fur,furs,furred,furred,furring
2512,furl,furls,furled,furled,furling
2513,furlough,furloughs,furloughed,furloughed,furloughing
2514,furnish,furnishes,furnished,furnished,furnishing
2515,furrow,furrows,furrowed,furrowed,furrowing
2516,further,furthers,furthered,furthered,furthering
2517,fuse,fuses,fused,fused,fusing
2518,fuss,fusses,fussed,fussed,fussing
2519,future-proof,future-proofs,future-proofed,future-proofed,future-proofing
2520,futureproof,futureproofs,futureproofed,futureproofed,futureproofing
2521,futz,futzes,futzed,futzed,futzing
2522,gab,gabs,gabbed,gabbed,gabbing
2523,gabble,gabbles,gabbled,gabbled,gabbling
2524,gad,gads,gadded,gadded,gadding
2525,gag,gags,gagged,gagged,gagging
2526,gain,gains,gained,gained,gaining
2527,gainsay,gainsays,gainsaid,gainsaid,gainsaying
2528,gall,galls,galled,galled,galling
2529,gallivant,gallivants,gallivanted,gallivanted,gallivanting
2530,gallop,gallops,gallopped,gallopped,gallopping
2531,galumph,galumphs,galumphed,galumphed,galumphing
2532,galvanise,galvanises,galvanised,galvanised,galvanising
2533,galvanize,galvanizes,galvanized,galvanized,galvanizing
2534,gamble,gambles,gambled,gambled,gambling
2535,gambol,gambols,gambolled,gambolled,gambolling
2536,game,games,gamed,gamed,gaming
2537,gamify,gamifies,gamified,gamified,gamifying
2538,gang,gangs,ganged,ganged,ganging
2539,gang-bang,gang-bangs,gang-banged,gang-banged,gang-banging
2540,gang-rape,gang-rapes,gang-raped,gang-raped,gang-raping
2541,gangbang,gangbangs,gangbanged,gangbanged,gangbanging
2542,gangrape,gangrapes,gangraped,gangraped,gangraping
2543,gaol,gaols,gaoled,gaoled,gaoling
2544,gape,gapes,gaped,gaped,gaping
2545,garage,garages,garaged,garaged,garaging
2546,garden,gardens,gardened,gardened,gardening
2547,gargle,gargles,gargled,gargled,gargling
2548,garland,garlands,garlanded,garlanded,garlanding
2549,garner,garners,garnered,garnered,garnering
2550,garnish,garnishes,garnished,garnished,garnishing
2551,garrison,garrisons,garrisoned,garrisoned,garrisoning
2552,garrotte,garrottes,garrotted,garrotted,garrotting
2553,gas,gases,gassed,gassed,gassing
2554,gash,gashes,gashed,gashed,gashing
2555,gasp,gasps,gasped,gasped,gasping
2556,gate,gates,gated,gated,gating
2557,gatecrash,gatecrashes,gatecrashed,gatecrashed,gatecrashing
2558,gather,gathers,gathered,gathered,gathering
2559,gauge,gauges,gauged,gauged,gauging
2560,gawk,gawks,gawked,gawked,gawking
2561,gawp,gawps,gawped,gawped,gawping
2562,gaze,gazes,gazed,gazed,gazing
2563,gazump,gazumps,gazumped,gazumped,gazumping
2564,gazunder,gazunders,gazundered,gazundered,gazundering
2565,gear,gears,geared,geared,gearing
2566,gee,gees,geed,geed,geeing
2567,gel,gels,gelled,gelled,gelling
2568,geld,gelds,gelded,gelded,gelding
2569,gen,gens,genned,genned,genning
2570,generalise,generalises,generalised,generalised,generalising
2571,generalize,generalizes,generalized,generalized,generalizing
2572,generate,generates,generated,generated,generating
2573,gentrify,gentrifies,gentrified,gentrified,gentrifying
2574,genuflect,genuflects,genuflected,genuflected,genuflecting
2575,geofence,geofences,geofenced,geofenced,geofencing
2576,geotag,geotags,geotagged,geotagged,geotagging
2577,germinate,germinates,germinated,germinated,germinating
2578,gerrymander,gerrymanders,gerrymandered,gerrymandered,gerrymandering
2579,gestate,gestates,gestated,gestated,gestating
2580,gesticulate,gesticulates,gesticulated,gesticulated,gesticulating
2581,gesture,gestures,gestured,gestured,gesturing
2582,get,gets,got,got,getting
2583,get,gets,got,gotten,getting
2584,gherao,gheraoes,gheraoed,gheraoed,gheraoing
2585,ghettoise,ghettoises,ghettoised,ghettoised,ghettoising
2586,ghettoize,ghettoizes,ghettoized,ghettoized,ghettoizing
2587,ghost,ghosts,ghosted,ghosted,ghosting
2588,ghostwrite,ghostwrites,ghostwrote,ghostwritten,ghostwriting
2589,gibber,gibbers,gibbered,gibbered,gibbering
2590,gift,gifts,gifted,gifted,gifting
2591,gift-wrap,gift-wraps,gift-wrapped,gift-wrapped,gift-wrapping
2592,giftwrap,giftwraps,giftwrapped,giftwrapped,giftwrapping
2593,gig,gigs,gigged,gigged,gigging
2594,giggle,giggles,giggled,giggled,giggling
2595,gild,gilds,gilded,gilded,gilding
2596,ginger,gingers,gingered,gingered,gingering
2597,gird,girds,girded,girded,girding
2598,girdle,girdles,girdled,girdled,girdling
2599,give,gives,gave,given,giving
2600,glad-hand,glad-hands,glad-handed,glad-handed,glad-handing
2601,gladden,gladdens,gladdened,gladdened,gladdening
2602,gladhand,gladhands,gladhanded,gladhanded,gladhanding
2603,glamorise,glamorises,glamorised,glamorised,glamorising
2604,glamorize,glamorizes,glamorized,glamorized,glamorizing
2605,glance,glances,glanced,glanced,glancing
2606,glare,glares,glared,glared,glaring
2607,glass,glasses,glassed,glassed,glassing
2608,glaze,glazes,glazed,glazed,glazing
2609,gleam,gleams,gleamed,gleamed,gleaming
2610,glean,gleans,gleaned,gleaned,gleaning
2611,glide,glides,glided,glided,gliding
2612,glimmer,glimmers,glimmered,glimmered,glimmering
2613,glimpse,glimpses,glimpsed,glimpsed,glimpsing
2614,glint,glints,glinted,glinted,glinting
2615,glisten,glistens,glistened,glistened,glistening
2616,glister,glisters,glistered,glistered,glistering
2617,glitch,glitches,glitched,glitched,glitching
2618,glitter,glitters,glittered,glittered,glittering
2619,gloat,gloats,gloated,gloated,gloating
2620,globalise,globalises,globalised,globalised,globalising
2621,globalize,globalizes,globalized,globalized,globalizing
2622,glom,gloms,glommed,glommed,glomming
2623,glorify,glorifies,glorified,glorified,glorifying
2624,glory,glories,gloried,gloried,glorying
2625,gloss,glosses,glossed,glossed,glossing
2626,glow,glows,glowed,glowed,glowing
2627,glower,glowers,glowered,glowered,glowering
2628,glue,glues,glued,glued,gluing
2629,glug,glugs,glugged,glugged,glugging
2630,glut,gluts,glutted,glutted,glutting
2631,gnash,gnashes,gnashed,gnashed,gnashing
2632,gnaw,gnaws,gnawed,gnawed,gnawing
2633,go,goes,went,gone,going
2634,goad,goads,goaded,goaded,goading
2635,gob,gobs,gobbed,gobbed,gobbing
2636,gobble,gobbles,gobbled,gobbled,gobbling
2637,goggle,goggles,goggled,goggled,goggling
2638,goldbrick,goldbricks,goldbricked,goldbricked,goldbricking
2639,goof,goofs,goofed,goofed,goofing
2640,google,googles,googled,googled,googling
2641,goose,gooses,goosed,goosed,goosing
2642,goose-step,goose-steps,goose-stepped,goose-stepped,goose-stepping
2643,goosestep,goosesteps,goosestepped,goosestepped,goosestepping
2644,gore,gores,gored,gored,goring
2645,gorge,gorges,gorged,gorged,gorging
2646,gossip,gossips,gossiped,gossiped,gossiping
2647,gouge,gouges,gouged,gouged,gouging
2648,govern,governs,governed,governed,governing
2649,grab,grabs,grabbed,grabbed,grabbing
2650,grace,graces,graced,graced,gracing
2651,grade,grades,graded,graded,grading
2652,graduate,graduates,graduated,graduated,graduating
2653,graft,grafts,grafted,grafted,grafting
2654,grant,grants,granted,granted,granting
2655,grapple,grapples,grappled,grappled,grappling
2656,grasp,grasps,grasped,grasped,grasping
2657,grass,grasses,grassed,grassed,grassing
2658,grate,grates,grated,grated,grating
2659,gratify,gratifies,gratified,gratified,gratifying
2660,gravitate,gravitates,gravitated,gravitated,gravitating
2661,graze,grazes,grazed,grazed,grazing
2662,grease,greases,greased,greased,greasing
2663,green,greens,greened,greened,greening
2664,green-light,green-lights,green-lighted,green-lighted,green-lighting
2665,greenlight,greenlights,greenlighted,greenlighted,greenlighting
2666,greet,greets,greeted,greeted,greeting
2667,grey,greys,greyed,greyed,greying
2668,grieve,grieves,grieved,grieved,grieving
2669,grill,grills,grilled,grilled,grilling
2670,grimace,grimaces,grimaced,grimaced,grimacing
2671,grin,grins,grinned,grinned,grinning
2672,grind,grinds,ground,ground,grinding
2673,grip,grips,gripped,gripped,gripping
2674,gripe,gripes,griped,griped,griping
2675,grit,grits,gritted,gritted,gritting
2676,grizzle,grizzles,grizzled,grizzled,grizzling
2677,groan,groans,groaned,groaned,groaning
2678,grok,groks,grokked,grokked,grokking
2679,groom,grooms,groomed,groomed,grooming
2680,grope,gropes,groped,groped,groping
2681,gross,grosses,grossed,grossed,grossing
2682,grouch,grouches,grouched,grouched,grouching
2683,ground,grounds,grounded,grounded,grounding
2684,group,groups,grouped,grouped,grouping
2685,grouse,grouses,groused,groused,grousing
2686,grout,grouts,grouted,grouted,grouting
2687,grovel,grovels,grovelled,grovelled,grovelling
2688,grow,grows,grew,grown,growing
2689,growl,growls,growled,growled,growling
2690,grub,grubs,grubbed,grubbed,grubbing
2691,grudge,grudges,grudged,grudged,grudging
2692,grumble,grumbles,grumbled,grumbled,grumbling
2693,grunt,grunts,grunted,grunted,grunting
2694,guarantee,guarantees,guaranteed,guaranteed,guaranteeing
2695,guard,guards,guarded,guarded,guarding
2696,guess,guesses,guessed,guessed,guessing
2697,guest,guests,guested,guested,guesting
2698,guffaw,guffaws,guffawed,guffawed,guffawing
2699,guide,guides,guided,guided,guiding
2700,guillotine,guillotines,guillotined,guillotined,guillotining
2701,guilt,guilts,guilted,guilted,guilting
2702,gulp,gulps,gulped,gulped,gulping
2703,gum,gums,gummed,gummed,gumming
2704,gun,guns,gunned,gunned,gunning
2705,gunge,gunges,gunged,gunged,gunging
2706,gurgle,gurgles,gurgled,gurgled,gurgling
2707,gurn,gurns,gurned,gurned,gurning
2708,gush,gushes,gushed,gushed,gushing
2709,gussy,gussies,gussied,gussied,gussying
2710,gust,gusts,gusted,gusted,gusting
2711,gut,guts,gutted,gutted,gutting
2712,gutter,gutters,guttered,guttered,guttering
2713,guzzle,guzzles,guzzled,guzzled,guzzling
2714,gybe,gybes,gybed,gybed,gybing
2715,gyp,gyps,gypped,gypped,gypping
2716,gyrate,gyrates,gyrated,gyrated,gyrating
2717,hack,hacks,hacked,hacked,hacking
2718,haemorrhage,haemorrhages,haemorrhaged,haemorrhaged,haemorrhaging
2719,haggle,haggles,haggled,haggled,haggling
2720,hail,hails,hailed,hailed,hailing
2721,hallmark,hallmarks,hallmarked,hallmarked,hallmarking
2722,halloo,halloos,hallooed,hallooed,hallooing
2723,hallucinate,hallucinates,hallucinated,hallucinated,hallucinating
2724,halt,halts,halted,halted,halting
2725,halve,halves,halved,halved,halving
2726,ham,hams,hammed,hammed,hamming
2727,hammer,hammers,hammered,hammered,hammering
2728,hamper,hampers,hampered,hampered,hampering
2729,hamstring,hamstrings,hamstrung,hamstrung,hamstringing
